,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
00A6100F2500B00F4300B00F,3.838322076958341,0.0,-5.30966390625,8.754087728113301,12.517237957259606,13.671509404149312,19.042840373596192,11.264233616597927,1.35
00B6100F2500B00F4300B00F,-1.110337528965859,7.356131327869241,7.982466508731398,14.895438565314643,0.0,-2.25,-1.9959559720633,0.2818951025085672,-2.8297714712815045
00C2100F4200A00F4200A00F,0.8965638106239306,13.134060517316593,3.87943398325415,5.815928327798882,0.0,4.570915440732209,19.150335695661138,-1.8674999999999997,-2.2045786179747635
00B3000F3209000F3209000F,5.5394865011660865,-1.5,-6.0,22.713361573537533,0.0,16.460536594535302,1.2856768929035436,-3.0,0.0
0095100F4200A00F4300A00F,7.9258691486176645,3.0,-3.0,0.0,-3.0,-2.9600309765624995,-6.75,-0.1499999999999999,0.0
00B3100F3400900F3400900F,0.0,0.0,0.0,0.0,12.60494697776377,24.328789951147755,-4.5,7.7013107575986375,0.0
0095100F3209000F3209000F,2.746146774795776,0.0,0.0,8.10846038919436,0.0,25.53209345676664,0.0,6.2974853876641435,-0.4325216952205415
0095100F4209000F3209000F,1.3125096971283465,24.43714657868797,0.0,-1.5,6.682099550228926,0.0,8.600398431227823,10.086811299639075,-2.6625
0095100F4209000F4200A00F,-1.33490197142346,0.0,0.0,0.0,1.8653331472539412,-0.52125,0.0,18.735884916615763,0.0
00A6100F2500B00F2500B00F,9.217871722399295,0.0,-0.2842771386673819,0.0,-4.65,-3.0,-3.0,-6.0,-3.0
00B3000F3208000F3208000F,0.0,1.420872312791169,-1.5,1.420872312791169,0.0,1.3375080346713633,-0.3006340048551066,0.0,10.542059214316712
9210000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7200000F2150000F2150000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A5300F3500A00F4400A00F,-2.83125,14.971446552493362,-6.0,0.0,0.0,7.444318820708386,0.0,3.0,0.0
0095100F3209000F3200A00F,0.0,0.0,0.0,19.594187856455065,0.0,0.0,0.0,0.0,0.0
00A5100F3209000F3209000F,0.0,-1.65,0.0,0.0,13.72337584971637,0.0,0.0,-1.5,0.0
0090000F3060000F3060000F,4.399622045372931,5.149324934736492,-1.5,0.0,3.868574586708097,16.158961017028407,0.0,8.689482624662661,0.44485074620475573
00A2000F2109000F2109000F,0.0,0.0,-3.0,0.0,10.496189456975884,3.649462362363411,0.0,12.886907073515925,0.0
0620000F1160000F1160000F,1.637976189659911,10.256474557685873,6.809552614752912,4.000136092300659,6.453213636141514,5.659142019291732,6.477537112451286,15.472430896842825,1.9864657673278625
1000F00E1000F00E1000F00E,7.776447066433181,3.834626700377078,7.908669239686185,9.75595184248619,1.8474577156512824,4.329785019877578,4.800817421649745,7.880428944855682,8.15455221437516
1000F00C1000F00C1000F00C,14.509710124688834,6.167669743169987,7.386441487887998,6.333879766693631,6.175524250904619,6.709907368008512,7.198027077443217,4.663905082818366,2.235655165607894
0000F00F0000F00F0000F00F,7.0563300612241715,5.6439763468364905,2.7693677944617088,2.8093176971070912,5.598188026081767,4.036450229672408,5.992533813270711,10.586811133401438,0.1056060039126189
0520000F2050000F2050000F,5.965733638160322,15.74086406846838,9.724971091131916,9.86800592309974,4.613445339834897,7.6955827141307,9.841347538765838,7.239650762157581,7.15645595238365
0091000F3008000F3008000F,0.0,0.0,7.607698253391817,10.76507871326458,7.906311530684995,9.053645982687552,1.8708006637960635,0.0,6.438992073634083
0080000F2060000F2060000F,0.0,11.340078991840446,-2.2048291765869155,0.0,0.0,0.0,0.0,2.7561845921318096,0.0
100B000F100B000F100B000F,1.0751584175282585,0.0,12.55679891599315,2.662519731225259,2.8365807885059335,5.467462089025957,0.0,5.069790323571732,5.214408656461924
0080000F0080000F0080000F,6.389449399267654,3.5694053456850003,4.339944099504088,7.180231371961696,4.841344622821115,6.1902222217272245,4.535205023103133,0.0,7.488274966620469
00B3100F3200A00F3200A00F,0.0,19.84251634948602,0.0,0.0,0.0,0.0,3.590071875,0.0,10.06743382232064
00A5100F3209000F3200A00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.280392393615166,7.670669730350188
A530000F3500B00F3500B00F,0.0,0.0,49.77654118895951,0.0,0.0,0.0,0.0,0.0,0.0
A611000F3230A00F3230A00F,0.0,0.0,0.0,0.0,18.630567812557157,0.0,0.0,0.0,0.0
1095000F3300900F4300900F,-2.9812499999999997,0.0,2.7,19.947849258758104,0.0,0.0,-0.75,-5.062556965099903,-7.293074662740513
00B5200F4400B00F3400B00F,0.0,0.0,0.0,2.8853116131163965,0.0,0.0,0.0,0.0,0.0
10B3100F4200A00F4200A00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0
00A1000F2107000F2107000F,0.0,14.932138322441089,0.0,3.65630671285659,0.0,0.0,0.0,0.0,0.0
00A5100F320A000F320A000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00B6100F4300B00F4300B00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00C4500F4400D00F4400D00F,21.6279375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10A4200F4220A00F3400A00F,-5.325,0.0,0.0,-12.0,0.0,0.0,0.0,-4.5,0.0
00A3000F3109000F3209000F,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0
0094000F3308000F3308000F,0.6470250000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0091000F3106000F3106000F,0.0,0.0,0.0,-1.5737407464590696,-1.5,0.0,0.0,0.0,9.73466051730898
0093000F3107000F3107000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0094000F3109000F3109000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095100F4200A00F4200A00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095000F3300A00F4300A00F,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0
10B3200F3200B00F3300B00F,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0
0074000F2207000F2207000F,0.0,0.0,0.0,0.0,34.865690784148335,0.0,0.0,0.0,0.0
00A6100F3500B00F4400B00F,-3.0,9.83069376534985,0.0,0.0,19.980810927402338,0.0,0.0,0.0,0.0
00A4000F210A000F210A000F,0.0,13.330781911021887,1.7077414021677502,0.0,0.0,0.0,0.0,21.74771769973763,0.0
