[45.5 49. ],[46.25 49.3 ],[43.25 48.1 ]
[45.5        48.66666667],[45.9 49.1],[44.3        47.36666667]
[45.4 48.8],[45.6  49.05],[44.8  48.05]
[45.2 48.8],[45.25 49.15],[45.05 47.75]
[45. 49.],[45.1 49. ],[44.7 49. ]
[44.5 49. ],[45.   49.05],[43.   48.85]
[45. 49.],[44.85 49.  ],[45.45 49.  ]
[45. 49.],[44.65 49.1 ],[46.05 48.7 ]
[43.2 49.2],[50.41176471 49.58823529],[21.56470588 48.03529412]
[43.9 49.2],[50.5  49.05],[24.1  49.65]
[44.8 49.2],[50.5  49.05],[27.7  49.65]
[45.5 49.2],[49.5  49.05],[33.5  49.65]
[46.2 49.5],[48.5  49.15],[39.3  50.55]
[46.8 49.5],[47.55 49.1 ],[44.55 50.7 ]
[46.4 49.4],[47.1 48.9],[44.3 50.9]
[46.3 49.2],[46.9  48.75],[44.5  50.55]
[46. 49.],[46.8  48.65],[43.6  50.05]
[46.  48.7],[46.65 48.5 ],[44.05 49.3 ]
[45.5 48.6],[46.35 48.5 ],[42.95 48.9 ]
[45.55555556 48.66666667],[46.1 48.5],[43.92222222 49.16666667]
[45.42857143 48.42857143],[45.8 48.6],[44.31428571 47.91428571]
[45.28571429 48.42857143],[45.52631579 48.78947368],[44.56390977 47.34586466]
[45.28571429 48.28571429],[45.15789474 48.84210526],[45.66917293 46.61654135]
[45.2 48.6],[44.94736842 48.78947368],[45.95789474 48.03157895]
[45. 48.],[44.78947368 48.78947368],[45.63157895 45.63157895]
[45.         47.66666667],[44.89473684 48.42105263],[45.31578947 45.40350877]
[45.  47.5],[45.         48.42105263],[45.         44.73684211]
[43.2 49.2],[50.41176471 49.58823529],[21.56470588 48.03529412]
[43.9 49.2],[50.5  49.05],[24.1  49.65]
[44.8 49.3],[50.5  49.05],[27.7  50.05]
[45.7 49.3],[49.5  49.05],[34.3  50.05]
[46.5 49.3],[48.5 49.1],[40.5 49.9]
[46.7 49.1],[47.55 49.2 ],[44.15 48.8 ]
[46.4 49.2],[47.2  49.25],[44.   49.05]
[46.4 49. ],[46.85 49.15],[45.05 48.55]
[46.1 49.2],[46.65 48.95],[44.45 49.95]
[46.  48.9],[46.55 48.9 ],[44.35 48.9 ]
[45.6 48.7],[46.5  48.75],[42.9  48.55]
[45.7 48.4],[46.21052632 49.        ],[44.16842105 46.6       ]
[45.44444444 48.44444444],[45.94736842 48.89473684],[43.93567251 47.09356725]
[44.57142857 48.57142857],[45.68421053 48.78947368],[41.23308271 47.91729323]
