,action_TFC_finish,action_TNC_finish,action_greedy,action_noise
0093000F3108000F3108000F,-9.67005,-10.8,-1.370006363141881,9.321406767677729
00A3000F3209000F3209000F,-11.124245466904679,-11.374370680282146,-0.1684648739935941,-10.114733725445971
0091000F3007000F3007000F,-10.8,-5.886,0.0,-11.547538680440006
1093000F3208000F3208000F,-14.891668484644395,-12.484145386196962,3.1983855334357756,-12.70415829323604
1095100F3300A00F3300A00F,0.0,-10.8,0.0,0.0
10B5200F4320B00F4320B00F,5.4,0.0,0.0,0.0
10A5100F4300A00F4300A00F,-5.4,0.0,3.2900025450503794,0.0
00B4000F3200B00F3200B00F,-5.4,0.0,0.0,0.24395074399118927
00B5100F3200B00F3200B00F,-5.3402965975822045,0.21927538437787097,-1.335168686708144,-0.10006668141591879
0096000F3209000F3209000F,-5.374522420957395,-1.378501587983398,-0.7641433446203152,5.129355175316761
0630000F2106000F2106000F,-34.049875365801945,-36.15631410731395,-51.300000000000004,3.554118591779001
0093000F3308000F3308000F,0.0,0.0,5.337636034602117,12.2550008069963
0092000F3108000F3108000F,-10.900005592292658,5.375317133706249,12.681231494130913,-13.855047440365789
0092000F3107000F3107000F,-10.445494896318817,-10.36959563710944,-0.047939219062787086,-0.34698058534935683
00B3000F3208000F3208000F,-5.117764193271639,-4.715614570710405,-7.270945159887139,9.298295543736991
0520000F2050000F2050000F,-5.37402200642619,-3.766942253155179,-2.520288926182915,6.310561170499186
0620000F1160000F1150000F,-5.4,0.0,8.423984801934488,0.0
0620000F1160000F1160000F,-4.775975674862761,-5.4498041078179345,-2.705154436811383,-1.6082257537451898
0631000F3106000F3106000F,0.0,0.0,11.79995658055963,18.563585464210867
1095000F3400900F3300900F,-6.908936281974901,-18.465307629760353,-12.44898821013479,-2.3225588875356316
00B3000F3209000F3209000F,-5.733091685642728,-9.51939,8.739907688044436,-1.8646936938565184
00B6300F3220B00F3220B00F,0.0,-8.1,3.3912,0.0
00B6300F3230B00F3230B00F,-6.047999999999998,0.0,0.0,0.0
00A2000F2109000F2109000F,0.0,-5.4,0.11689513740366131,0.0
0623000F2307000F2307000F,0.0,0.6931756199849904,12.904843253424092,0.0
