,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
00B3000F3308000F3308000F,0.0,0.0,0.0,0.0,18.77496722499016,0.0,1.5,0.0,0.0
00A4000F2408000F3307000F,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
0734000F3407000F3407000F,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0
00B3100F3400900F3400900F,0.0,-0.22499999999999964,0.0,0.0,0.0,0.0,0.0,0.0,12.060785080711865
00A4000F3309000F3208000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0
00A4000F3308000F3408000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A3100F3309000F3309000F,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
00B3100F3209000F3309000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095100F3300900F3300900F,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.29269999530965
D000000FD000000FD000000F,5.894001270216226,-0.6906590125493415,5.451047452353755,-1.3697444439233322,-1.351646004935021,-1.596282305929339,-0.4936780720770242,-0.7859907462911632,3.617252392700281
00A2000F3207000F3207000F,-11.88679475454616,-20.231229564658253,-23.519718226517845,-7.26612849681918,-2.9102642421198004,-7.620436939015926,11.556285307751867,-11.714545759628667,-27.502266533909644
00A2000F3107000F3207000F,0.0,0.0,-6.803621370042379,0.0,-6.0,0.0,0.0,-4.645911354878008,-9.0
0092000F2207000F2207000F,-1.5,0.0,0.0,-7.5,20.888723753855317,0.0,0.0,0.0,0.0
0733000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,3.913804619103322,0.0,0.0,0.0
0633000F3306000F3306000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.65,0.0
00A3000F3208000F3207000F,0.0,2.004281108956839,-5.774999999999999,0.0,-7.562157794897421,0.0,-1.5,0.0,0.0
0632000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0092000F3206000F3206000F,0.0,0.0,0.0,0.0,0.0,0.0,57.566195181260504,0.0,0.0
1092000F3206000F3206000F,0.0,0.0,20.5198964270554,0.0,0.0,0.0,0.0,0.0,64.96524213945476
00A2000F2108000F2108000F,-9.082370667916745,-3.634923690964179,-14.247453834997621,-3.93894504898908,-5.917284592913,7.369400944405734,-9.777795392787024,-9.904160247234007,-14.673211547279301
00A3000F3108000F3108000F,0.0,0.0,0.0,0.0,-1.8844812050050517,9.77167254859292,-3.660004490359877,-0.7986130876083779,-3.0
0092000F3107000F3107000F,0.0,12.494864052866527,0.0,-14.112528385678498,0.0,0.0,-3.8237765625,-3.608205633125081,-1.8457527905866034
0096100F4300900F4300900F,0.0,-6.0,0.0,-4.5,0.0,0.0,9.709733613914352,0.0,0.0
00A6100F3400B00F3400B00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
9520000F2400900F2400900F,0.0,0.0,19.421717061571584,0.0,0.0,9.883620189616,0.0,0.0,0.0
00C3100F3400A00F3400A00F,0.0,0.0,0.0,0.0,0.0,27.978102105974386,0.0,0.0,0.0
00A2000F3208000F3208000F,0.0,-2.7892235848618903,-4.36292710146474,-3.4437980950211218,0.0,2.560473003790475,0.0,0.0,0.0
00A2000F3108000F3108000F,-3.0,-9.0,-1.5,-5.544516845470309,-6.0,3.501866876790779,11.788591412895537,-1.5,-9.661668146912406
00B3000F3109000F3109000F,0.0,3.681732961855211,0.0,0.0,-1.5,-0.1668169567284865,0.0,0.0,-5.5243291356811515
0095100F3209000F3309000F,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
00B5100F3200B00F3200B00F,0.0,0.0,0.5243535798518892,0.21371106660526884,-0.10346561240191621,0.0,12.808817975003752,-0.22478260403361627,0.0
A520000F4300B00F4300B00F,0.0,0.0,0.0,0.0,0.0,11.646756567568131,0.0,0.0,0.0
A611000F3230A00F3230A00F,0.0,0.0,0.0,0.0,0.0,0.0,8.295855672408605,0.0,0.0
