action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
-312.48003427714514,217.23153099666175,-90.85818916149653,62.577217084166186,268.30853738874566,39.19016605469706,279.885822158417,423.39898117835503,207.60342848651413,239.03366145268143,344.5022493809222,372.7518973283104,426.9658553741114,352.7819039819051,203.80559760964132,257.6279496349593,163.19659704692594,344.5516734476027,35.714840065012986,195.58267687920608
-312.2613042486728,267.72558363951725,-48.93091636952458,80.66381937470717,284.97600401210786,45.77825762088065,294.49519513010864,408.334193171139,206.58255116651605,234.9512364322263,370.8691817788766,359.6513668783808,432.82116608729075,419.36820277378666,214.78498709123977,259.1836256727726,187.48052941410964,341.13250631981373,19.897757800251256,195.9510254332369
-295.890067355885,254.23865852984576,-24.93126570472131,79.95473146084558,295.4512370522738,74.4645306252293,320.747327586609,406.62083192443316,235.0216073892214,234.2397573528895,423.69389696940755,364.9528476554416,433.3070516382001,466.36996273586846,209.86011237736437,276.35877866055466,191.5109137970647,328.36067679455607,41.878179727918784,220.58131477588861
-292.5845642695632,260.15511274062646,-34.11036924946738,90.378129943429,307.5988358108493,88.98240464491755,336.4934901856411,450.97115786083157,250.1329814108435,264.3491855310081,377.54221191135713,389.7055946543274,441.44361016874933,440.08434139800914,196.2167025370752,305.5072940522973,203.45284909124686,333.69181150256895,70.7599312851284,242.89992469853507
-292.5845642695632,289.04930544228876,-35.516827116112935,107.1225206156941,305.3854352880977,87.67071246022343,331.8029824172498,449.1274454092223,273.2270425487078,292.0274707694432,414.1981578118219,408.79894935883317,460.4459025480258,434.6080091953067,208.9401389700608,304.9215619194584,229.37377101016816,353.12588119899135,96.14362591794524,228.78616942045016
-280.35454945126673,341.505248384554,-41.52755575334662,154.1037188904601,309.3773710207419,94.97175580794958,347.5857961212282,465.37985294722694,269.85083764223094,269.36683558262274,411.31855419457116,449.52026530980567,465.972909690312,463.84884654310196,230.9948614066201,325.9389992117253,265.1857032121709,362.4039360924668,120.95516912512286,240.7455388920409
-263.7682446389325,371.2168134384919,-32.61049145658292,129.69531637859254,312.78039492500204,107.38295532095451,356.64913177546816,492.2527296235662,268.7342818290844,357.2908444470994,423.77179438820787,471.8113953282161,496.67179091645664,466.81125566763257,217.448736296072,277.30482456775513,256.1381569226137,359.4189925263959,131.87395961829571,222.1623410836192
-211.61430151598893,375.90559384528706,-33.495587554253085,141.0691340944739,310.7695555856202,115.92043383013831,365.27255825156976,500.8511754286708,282.7548466653375,319.33554761221035,444.71767540578855,485.1576263705746,515.8208400653082,472.89965633106385,317.9234178237588,290.6506091227505,226.5656534377245,403.56834430371293,136.8271906105905,246.33060698737592
-194.2196864976397,400.03152548492835,-26.02994319740005,162.47831146368327,311.12069891823126,133.12848125015518,375.87871491434043,517.4415564273346,298.0750289170155,330.8179375359738,450.5084266171418,502.0210908781062,501.7267384497135,474.3230286354743,316.29031844428636,291.4382555670446,237.38958463299974,416.1475677266942,130.5764548796472,237.83675005096325
-183.8270147481304,399.1448588184189,-41.834633885667785,155.649746085078,314.76181104864156,136.9643687666843,400.84160078469824,497.9798835316125,323.4404690520948,328.9434184596115,442.86425939592317,501.25150894638205,485.5422919470075,501.35680542352924,342.388096756011,292.16279288876115,236.8211959059982,431.0370208358202,137.82452237385394,268.5628038587594
-174.64377863151665,394.1940154933247,-39.70616572431055,183.46113144723404,324.17395770142787,153.20505543600876,366.8678439760929,504.0046783122461,341.99325094773945,354.7971920182845,472.07021302710797,503.20821444615297,477.7201702042887,496.1362756894919,340.1581853916563,297.01262260246983,242.14348671605825,430.0844905783982,133.6457649864636,255.6446320125631
-168.6927599329607,413.40040004814244,-25.180277773875595,177.91016496402102,375.18353725650036,126.30984466772556,350.8729146480347,537.5158739955353,328.7959852522734,329.20585929628066,514.4521268169123,493.12066888005904,495.1229985304401,536.6925823393581,361.6208095149306,331.18061045492937,315.73724512357404,395.3599257954695,126.43564509937318,248.02996849167064
-165.67913405771125,429.66901845457147,-27.962168965582084,198.4690420525722,353.9467637434435,178.4455447490568,354.660223837822,548.5932306268614,335.3884435101527,355.7798615961342,535.3736610288146,521.1917524843207,511.47235129754193,537.5567956119918,361.7640899831757,341.02648470322504,336.5349575949316,409.85149150161095,131.5436212687831,263.9090821932563
-174.3676844811785,449.97461228269725,-23.904595092823214,181.5485423882257,381.84454288871024,161.04433812865025,383.9659625504603,530.6001197504082,339.1872868311254,363.9316820486463,511.09096049549424,579.4735634117633,515.3051539953049,532.7069405376654,354.5500560027498,332.078550804258,365.81735356948843,458.0865103568956,119.65093935962665,290.8957745212465
-160.0278934207884,477.03053201008,-8.34996365269712,194.89288265157427,381.892821072612,182.01965687625372,395.4952606592721,528.1147824383565,351.0006069472952,347.489441605428,519.3283731964509,618.1333043659182,516.8808226079962,562.5556562087127,347.29630178987713,344.2589422197151,365.8858433832611,430.0110597382906,129.3352499440906,270.7548491470007
-150.77214619214817,483.317284563986,-28.494250096279785,208.95304879436603,382.2925086121993,172.4307993087988,388.6917846073188,516.8342023956927,332.0873212127371,378.1892596718318,554.5855304232596,637.9275207192218,547.347636561773,577.0051355058898,370.14003859348145,366.55213193407275,336.15521130784725,463.7728278958775,130.2541221037901,276.3316945506056
-146.02986938326512,527.1159779814695,-35.653248083564684,224.88991303440105,392.087090090156,180.93989978323867,380.29683642001146,521.8551100618301,357.040469650734,345.37084656626996,548.5921199829022,642.2960493280505,552.0015396984232,553.1015701613215,379.5120648841486,377.13889357439405,361.09454508651197,463.52276272048323,129.87136505154172,270.9908539034069
-148.4786589006835,559.4084525626308,-33.20378682032588,224.7081413546896,381.61647179143506,180.7726842581531,405.9331379795159,513.5525688242681,386.7455528087236,376.8464549899318,563.2110076261959,634.5571788039219,589.3745356076322,526.1364590590116,382.3460858087682,389.4524920448737,363.87724702573234,445.55203697942943,131.72611346868968,269.47472532194536
-164.7263823440191,573.4605577646254,-43.029959440542946,245.64739166521449,402.457442936681,201.21985559621743,430.37440238378076,562.1807339662603,388.4899133608559,364.5486703122527,588.4346855657816,636.7463225759655,618.4007758981941,547.759165019138,397.70877455062094,397.0545099813637,372.7462652294539,443.7941615221291,129.6255332509381,266.13726129826057
-172.08617015347164,567.6440937386369,-52.608597567139135,253.18002404506143,418.77806706599205,225.91972309668995,451.5313996588348,585.5098553228858,393.19993085534486,398.4471161970808,597.8501136233539,643.2795852455795,677.1748380071448,526.7108579687391,406.4135684880282,398.1685508434883,394.5923135014374,447.1583789235851,166.8811355386557,265.54744642307463
