,k_means_000,k_means_050,k_means_100
00C5400F4410C00F4410C00F,0.9,1.2000000000000002,-0.32999999999999996
00B6300F4320B00F4310B00F,0.0,-1.7400000000000002,-1.8
00C5400F4220C00F4320C00F,-0.8700000000000001,0.0,0.0
00C5300F4220C00F4220C00F,0.0,0.0,0.30000000000000004
00B4200F3300B00F3300B00F,0.0,-2.4000000000000004,0.0
00B5400F4320C00F4320C00F,-0.3599999999999999,0.0,-2.1
00B6300F4320C00F4320C00F,0.0,-1.4118644400000002,-1.2000000000000002
00A5300F4400A00F4400A00F,0.0,0.0,-0.9
00B5300F4310B00F4310B00F,0.0,0.0,0.0
10B6200F4310B00F4310B00F,0.0,0.0,0.0
10B3200F3400A00F3400A00F,0.0,1.5,0.0
00A4000F3208000F3208000F,0.0,0.0,20.6186008062789
00C5500F4420C00F4310D00F,-5.039343936185724,-13.771584160537675,-17.004250995730068
00C4400F4310C00F4310C00F,-0.33290607292847985,-2.882823940551939,-2.9704268666689715
00C5300F4400C00F4400C00F,-5.721041514319369,-3.246306467101359,7.972490610366234
00C5300F4400D00F4400D00F,-2.0471113968517516,0.9350286975256032,-3.6937893634707235
00C4400F4400D00F4400D00F,-0.15182104367175997,-2.0277003683619528,8.097869455660348
00C4500F3500D00F3320D00F,-0.7141779987134116,-2.1895080607159603,7.2030504909633475
00C4500F4400D00F4400D00F,-2.5449669229318714,0.11858566048120256,14.459883267734622
0096100F1600A00F4400A00F,11.685618000186254,2.626065981786401,1.3750414615222804
0080000F0080000F0080000F,0.7266756720966856,2.6514137019305997,0.7576960448867353
00C5500F4420D00F4310D00F,0.13291962538263868,13.000564539065591,0.9293011180736486
00C4500F5400D00F3410D00F,1.311569175559352,6.223093370172099,-1.0737776679096258
0096200F3500A00F3500A00F,-0.6094031175624932,-5.236342820655255,-5.385137968098342
0095000F2209000F2209000F,0.9,19.49759438188099,2.4172791010586354
0095000F220A000F220A000F,3.913318844852603,2.040129791291831,14.866306837445093
00B5100F3200B00F3200B00F,6.387524859081102,1.38680465106,1.1549562430076261
00B6200F4410B00F4310B00F,-8.233029668881908,-6.3518020401813216,-7.1668261337201535
00B5200F4400B00F4400B00F,9.55227288085312,3.196509401595362,-1.2000000000000002
00B6200F4400B00F4400B00F,-0.6000000000000001,0.6667980163403975,-0.34716645929541007
00B6300F4400C00F4400C00F,-1.5,-1.0281,-0.641202601762823
00C6300F4400C00F4400C00F,0.0,0.0,-1.2000000000000002
00C5300F4310D00F4310D00F,-0.20566425636515206,-1.0692867434622497,4.2289951471580105
00C4500F4500D00F4310D00F,-1.5792377825178767,-0.9,2.9256129637677613
00C4500F5400D00F4310D00F,-5.744242787145724,1.202317558005101,-5.148760923721878
0096200F4400A00F3500A00F,-1.2081787205000236,-1.9423041510722368,-1.8
0734000F3308000F3308000F,-1.931774431652856,-2.8816958051602923,-2.9106302388554006
A320000F3308000F3308000F,0.0,0.0,0.0
A531000F4320B00F4320B00F,0.0,0.0,0.0
A431000F4320A00F4310A00F,0.0,0.0,0.0
00C3100F3400900F3400900F,0.0,9.542407146907669,0.0
