,action_TFC_finish,action_TNC_finish,action_noise
0083000F3207000F3207000F,-2.2679206662244216,-1.8120000000000003,-0.9862491850628974
0091000F3106000F3106000F,-0.09009690200848784,-2.7018965122250815,3.9065117312234188
0092000F3108000F3008000F,0.0,0.0,-0.30000000000000004
0083000F2208000F2208000F,0.0,-0.30000000000000004,-0.8834181914539592
1094000F3209000F3209000F,-1.906168646987351,-0.5978450334252817,0.4724805334475111
0094000F220A000F220A000F,0.0,-0.30000000000000004,0.0
0074000F2207000F2207000F,3.2013000000000003,7.006112161980137,0.0
0092000F3207000F3207000F,-3.1381997984035848,-4.742316668856642,-3.226971434454898
0621000F2206000F2206000F,3.590515446133912,8.022157117393116,4.198734206194481
1082000F3107000F3207000F,-3.1372860000000005,-3.741,0.12091799136270986
1095100F4300900F4300900F,-1.1880000000000002,-1.8,0.8715148638000001
00A2000F3108000F3108000F,-1.331396251038,-2.877243325674628,3.884290252661783
00A4000F3208000F3208000F,-2.2462414919606184,-2.8276688614021377,5.154261669407684
00C3100F3400A00F3400A00F,0.0,0.11472357620152318,0.0
00B3000F3208000F3208000F,-0.5026782795846675,0.7731742911781591,6.9663246043549885
A200000F2207000F2207000F,-0.004308042217005556,2.2248082678585615,7.784717431970975
0630000F2060000F2060000F,-0.024378850377720414,-0.167935672314351,-0.10078658970083489
0092000F2207000F3207000F,0.0,0.0,6.638997962041724
1095000F3300A00F3300A00F,-2.4000000000000004,-2.386430544008929,-1.04787
1093000F3209000F3209000F,-3.5274804203775982,-3.35028,-1.2167562069906268
0092000F3108000F3108000F,-1.2633398125991588,-2.61239587024168,-1.3357018080056684
0093000F3108000F3108000F,-1.6051660135178336,-0.7602737375754294,0.6345491260652822
10A5100F4300A00F4300A00F,0.0,-0.5885999999999999,0.54857166383142
00A3000F3209000F3209000F,-3.077587933172433,-3.826571913254509,0.735205595684191
0096000F3209000F3209000F,-0.5615137075107158,-0.6000000000000001,3.3516391023946457
00A2000F2207000F2207000F,-0.6000000000000001,-1.1276958928326708,3.21137308249665
0095000F220A000F220A000F,-1.155083843094643,-0.520966727745203,1.267089241184431
00B3100F3308000F3308000F,-2.094450395940954,-1.6694406072189576,2.9587685999999995
10A5200F3400A00F3400A00F,-2.868513722234931,-1.2000000000000002,-1.2031525200000002
1095100F3300900F3300900F,-2.67037198964747,-1.7309932792874152,2.1047904525403514
0095000F2209000F2209000F,-1.1004025434324327,-0.009012778556960392,7.585271814206541
0090000F3060000F3060000F,-0.2829034090688461,0.0,2.821230017233859
0520000F1150000F1150000F,-0.013704049776195857,0.0,3.135572645617775
