action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
1215.4563512934087,1499.6962513749693,923.7924292436142,997.1380599050308,1287.862869872957,1194.899447693041,1780.174168875208,1871.842893187313,1876.4837876274457
1292.4249005218355,1567.5709157925355,813.6068246669836,1172.2854376963642,1443.0299281256848,1434.8357101027275,1948.3449200268176,1915.4020186051994,2072.640156720705
1419.2515888895032,1706.3016735635902,857.8861424429618,1071.5612464564952,1492.3854207983486,1746.0566525581135,2067.5154195218506,1949.402372798015,2251.313470445477
1677.9711750339193,1826.0043499500052,943.2939389491578,1170.8469617961769,1544.6329016321108,1810.6739630064874,2176.7451399165875,1742.7727962995928,2530.965011385513
1721.759708436542,2019.82629805019,1162.4059446556414,1080.697916155186,1592.1763405957174,2008.2743181653602,2187.923983026405,1979.2664927684875,2595.56059255328
1827.8730808212767,2067.917101523336,1256.632861554325,1117.1630646152364,1735.900873622331,1926.3753830462824,2311.547148512035,1932.936255896298,2896.222846374607
2009.4709037687333,2089.956418010987,1196.4545088414534,1217.6179809900345,2096.298594117931,1945.6162089953186,2525.6091401494123,2176.549579385376,2875.0216212074565
2147.3182402746606,2221.6123205725926,1209.3677972452724,1239.2064174433506,2075.803010043175,2247.4983358976924,2523.5234164007584,2465.1236833895105,2919.73141924394
2210.931122165707,2315.108004540662,1366.0959177484765,1218.8647996845239,2243.0060891876724,2159.716977299066,2949.7155043743314,2632.737538896814,2865.78644811686
2192.2482051608013,2338.475550426068,1768.9684878858113,1334.8491486407038,2462.7857686328393,2084.485678456569,2985.153956538509,2616.208864493288,3059.2989645770845
2450.8611648233846,2491.068788653359,1777.8647753969387,1430.8175655544146,2441.5569612830927,2160.1932577851912,3203.676012722018,2861.4824637016877,3139.3212378600356
2772.379889840605,2469.6567267203436,1829.718472611858,1228.795548179524,2266.0457657208617,2349.4081619754843,3306.387431715192,2918.756493843645,3366.207145370346
3102.4084989074636,2280.6400829124705,1958.3728454211696,1296.8963938324903,2391.0450064082606,2502.5978413914536,3234.31420253104,2967.8014212312137,3312.7528121008327
3186.4747226840136,2471.3074483480123,2153.526605712592,1343.3057741273517,2434.371496656526,2818.3995370606053,3268.95685694248,3092.498107542995,3397.947376907424
3478.188484752052,2513.7062983696524,2030.322558553961,1471.0496062254176,2697.6141180426353,2988.5205422089266,3295.787793923804,3294.0079545792114,3415.3871201007514
