,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092000F3207000F3207000F,-0.05497653984688977,24.7133850175696,3.2722610524691804,15.208723895498132,7.842702581190403,12.034285025780244,10.509781477832107,12.737783573269464,3.3369441843944503
0092000F3207000F3207000F,-2.9652667225654867,1.086686411098845,5.1853539594623825,17.831817287499852,7.589265669284317,5.065491791734789,1.1697428130730978,-0.7657424644062312,5.15842453476459
0091000F2206000F2206000F,0.0,21.96891584266465,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
1094000F3208000F3308000F,0.0,0.0,0.0,0.0,36.18208350774045,0.0,0.0,0.0,0.0
1092000F2307000F3207000F,0.0,0.0,0.0,13.295413978397171,0.0,0.0,0.0,0.0,0.0
0093000F3207000F3207000F,0.0,2.748424187927777,4.587976219782096,0.0,0.0,0.0,-3.4441221093750007,-1.2620510546491948,4.921302670133169
0092000F2107000F2107000F,-3.0,13.709853221755422,0.0,0.0,0.0,-6.0,0.0,0.0,0.0
0091000F3008000F3008000F,-1.5,0.0,2.6275396487308145,0.0,0.0,0.0,0.0,0.0,0.0
0520000F2050000F2050000F,0.0,0.0,0.0,0.0,0.0,-6.0,8.228866481721052,0.0,0.0
0090000F2060000F3060000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6648965461978196
0620000F1160000F1160000F,10.182859202386599,14.050492951982225,3.863747596005779,9.566948248671709,11.818029772027314,14.350299938888263,14.562788476210457,13.328030182173855,0.4874302453142658
00A2000F2207000F2207000F,6.649808870877369,6.34686792572281,0.0,8.960754745604984,3.9322515025978166,14.54428536752014,9.38732592220384,7.178481563606573,8.085877054395324
00A4000F3308000F3308000F,18.63773911152264,18.873747193576214,18.331227795417227,8.644869269956477,11.387336891361086,36.92766553260256,0.0,0.0,10.845312774567828
