,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
0091000F2107000F2107000F,5.4097738877328965,0.0,0.0,22.69472460417363,5.7612995698015865,44.76084800216316,-1.5,-1.65,-1.2098112266462402
0531000F2106000F2106000F,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A1000F2107000F2107000F,0.0,0.0,0.0,2.1120210721853754,0.0,0.0,0.0,0.0,0.0
00A2000F2108000F2108000F,8.020402286880682,44.28355722387086,18.484966375209574,16.857090386948975,29.409085386473542,-1.875,4.186904800567053,1.5,-3.0
6100000F2140000F2140000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0530000F3150000F3150000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0092000F3207000F3207000F,0.0,0.0,0.0,0.0,21.236405991092923,28.38848661488983,0.0,0.0,0.0
0643000F3226000F3226000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0643000F3226000F3406000F,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0
0632000F3207000F3207000F,0.0,-1.5,0.0,-1.5,0.0,0.0,0.0,0.0,0.0
00B3000F3209000F3209000F,-4.5,0.0,-4.5,0.0,0.0,9.521244799108278,1.2000000000000002,0.0,0.0
0095100F4200A00F4200A00F,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
00A6100F2500B00F2500B00F,0.0,0.0,-6.0,3.0,0.0,0.0,-3.0,0.0,-1.5
00C4600F3230D00F3240C00F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
B433000F3330C00F4330C00F,3.9229212863129663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00B3000F3208000F3208000F,4.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A200000F2207000F2207000F,0.0,0.0,14.767332425581923,7.290843629825384,8.12833623814469,14.049575724594284,0.0,0.0,29.394010264920553
