,action_TFC_finish,action_TNC_finish,action_greedy,action_noise
00B2100F4200A00F4300A00F,3.0440962375715213,0.0,-6.312055424957029,0.0
00A6200F3500B00F3500B00F,-4.59375,0.0,0.0,0.75
0630000F2106000F2106000F,0.0,-3.6391939601334298,14.862203201922043,-8.691357900340497
0092000F2207000F2207000F,-3.0,-4.5,-3.0,12.40941156581722
00A2000F2207000F2207000F,-4.568401762570602,-3.3098682314157486,-7.939326992236569,-1.14307953070877
000C000F000C000F000C000F,-7.405429490752153,-0.1407754653305533,-7.408488994560121,-9.4307855590596
1000F00E1000F00E1000F00E,-0.22880079365107214,-0.6431857549294261,0.10330214558899747,-0.48679138995225074
0623000F2307000F2307000F,1.4242778569777612,-2.8541332557987307,15.043789235486026,0.0
00A3000F3308000F3308000F,-1.9211210468106472,-3.7581247033709553,-1.6083845589068124,8.890842580833127
10A3000F3108000F3108000F,0.0,-6.0,1.5,0.0
00A3000F3208000F3208000F,-5.445110352920389,-14.906052156357672,-1.2193208803495859,11.915933763900675
0096100F3300900F3300900F,0.0,3.0,-2.25,2.1003833816772377
0091000F2106000F2106000F,-4.5,-8.833304175455865,14.101976762426112,-2.0902790059582053
0092000F3207000F3207000F,-19.81357128045056,-7.081424506525798,8.710857450157103,-1.2477992567440968
00A4000F3308000F3308000F,-3.4138275885538647,10.80790243410413,1.5,-5.729393938460369
0074000F2207000F2207000F,-6.202303937546615,-6.391196978501966,-8.744947917760022,-1.939848572415175
D000000FD000000FD000000F,-6.931310239142217,-11.292795529462113,-15.46944094625625,-2.479701600182576
1086000F3400900F3400900F,0.0,6.0,0.0,0.0
10A3000F2308000F3308000F,0.0,-6.75,-3.0,0.0
00B3000F3208000F3208000F,-1.2665957100019183,-7.473607775249318,-3.4541464147857575,9.313151682768861
0092000F3107000F3107000F,-2.4138909618115005,-8.535931095313341,-5.569691021999891,4.969985703081139
00A2000F3107000F3108000F,-18.533553367944727,-1.7072234451770782,-3.0,-5.05107307434082
0530000F2150000F2150000F,-0.2005718470480673,-10.878360663692261,-4.88579803339756,1.72028896299157
1086000F3408000F3408000F,-3.303667616215698,0.0,0.0,0.0
1093000F3308000F3308000F,-7.5,-4.5,6.640985433273909,-0.9084613083707831
10A3000F3208000F3208000F,-12.046875,-7.228214615592266,-6.8765938140801275,-12.8945666314695
